frequency_hz,target_strength_db
12000.0,-54.43699941177269
14379.746835443038,-51.82455352372375
16759.493670886077,-49.81413263474185
19139.240506329115,-48.292966817147814
21518.98734177215,-47.19602222403799
23898.73417721519,-46.48560601355661
26278.481012658227,-46.14023210425975
28658.227848101265,-46.14778132829209
31037.974683544304,-46.49917886688143
33417.72151898734,-47.176353761199145
35797.46835443038,-48.121025408554715
38177.215189873416,-49.16215089896472
40556.962025316454,-49.92241578614036
42936.70886075949,-49.94208551589534
45316.45569620253,-49.17758537995791
47696.20253164557,-48.063874951031515
50075.94936708861,-47.01025942731987
52455.696202531646,-46.211310811849735
54835.443037974685,-45.72974043866364
57215.18987341772,-45.57532949757447
59594.93670886076,-45.73738932742906
61974.6835443038,-46.188315911542574
64354.43037974684,-46.866003521725055
66734.17721518988,-47.63529195021732
69113.92405063291,-48.25194546142457
71493.67088607595,-48.42916203465988
73873.41772151898,-48.06707839750122
76253.16455696203,-47.3596992841066
78632.91139240506,-46.593501939711956
81012.65822784811,-45.96584374176356
83392.40506329114,-45.57137728142334
85772.15189873418,-45.443545050990615
88151.89873417722,-45.582610401292825
90531.64556962025,-45.96228072344605
92911.39240506329,-46.51877698622761
95291.13924050632,-47.12834641485497
97670.88607594937,-47.59851947297421
100050.6329113924,-47.731844637544214
102430.37974683545,-47.46692899691887
104810.12658227848,-46.93349732052886
107189.87341772152,-46.336941222648136
109569.62025316455,-45.838250799950096
111949.3670886076,-45.52699269383623
114329.11392405063,-45.44006293702176
116708.86075949368,-45.5797392511824
119088.60759493671,-45.91864042273776
121468.35443037975,-46.39239370814294
123848.10126582278,-46.88740237856238
126227.84810126582,-47.246607340965156
128607.59493670886,-47.32815779179377
130987.34177215189,-47.09988741006289
133367.08860759492,-46.664360777704545
135746.83544303797,-46.17943953400974
138126.58227848102,-45.7756090836104
140506.32911392406,-45.530825220188376
142886.07594936708,-45.47892154673914
145265.82278481012,-45.62090937783255
147645.56962025317,-45.92809353270408
150025.31645569621,-46.337081296681156
152405.06329113923,-46.74449753306186
154784.81012658228,-47.020621813914246
157164.55696202532,-47.06138352185029
159544.30379746837,-46.85382146228923
161924.05063291139,-46.48456945825646
164303.79746835443,-46.08035544551776
166683.54430379748,-45.74837845453362
169063.2911392405,-45.55524328443515
171443.03797468354,-45.53028789690035
173822.78481012658,-45.67246961282757
176202.53164556963,-45.9520972440254
178582.27848101265,-46.30774951116139
180962.0253164557,-46.64604337350218
183341.77215189874,-46.85936802335536
185721.51898734178,-46.87062161491625
188101.2658227848,-46.67901248942469
190481.01265822785,-46.359595587612446
192860.7594936709,-46.01698378822704
195240.50632911394,-45.740716421964144
197620.25316455695,-45.58773730760737
200000.0,-45.582900453466195
